endpoint,column,dtype,missing_count,missing_percent,unique_count,example_values
members,Sectores json,str,0,0.0,344,"[{""parent"":""Defensa"",""sub"":[]},{""parent"":""Espacio"",""sub"":[]}] | [{""parent"":""Fabricación industrial"",""sub"":[""Desarrollo y caracterización de materiales"",""Fabricación de estructuras nanométricas"",""Fabricación de superficies funcionales"",""Texturizado""]},{""parent"":""Sector energético"",""sub"":[""Baterías"",""Energía solar fotovoltaica""]}] | [{""parent"":""Construcción"",""sub"":[""Smart Windows""]},{""parent"":""Industria química"",""sub"":[""Caracterización productos químicos"",""Investigación"",""Pinturas, tintas y protección de superficies""]},{""parent"":""Sector energético"",""sub"":[""Energía solar fotovoltaica"",""Energy Harvesting""]},{""parent"":""Seguridad"",""sub"":[""Detección explosivos""]}]"
members,Patentes,float64,335,80.92,13,2.0 | 5.0 | 3.0
members,Tecn. en patentes,str,403,97.34,6,Materiales Avanzados | Fotónica | Microelectrónica y Semiconductores
members,Sect. en patentes,str,404,97.58,9,Seguridad | Todos | Telecomunicaciones
members,Patentes json,str,402,97.1,12,"[{""titulo"":""Uso de un compuesto fluorescente como componente de tinta de seguridad y  tinta de seguridad "",""codigo"":""PCT\/ES2022\/070597"",""year"":""2022"",""tecnologia"":""Materiales Avanzados"",""sector"":""Seguridad""}] | [{""titulo"":"""",""codigo"":"""",""year"":"""",""tecnologia"":""Materiales Avanzados"",""sector"":""""}] | [{""titulo"":""Dispositivo óptico configurable"",""codigo"":""ES2711456"",""year"":""2018"",""tecnologia"":""Fotónica"",""sector"":""Todos""}]"
members,Publicaciones,float64,322,77.78,17,4.0 | 3.0 | 2.0
members,Necesidades Gen,str,341,82.37,63,"Acceso al mercado: Acceso a nuevos mercados, Acceso a financiación pública Nacional: Acceso a ayudas públicas nacionales para inversión en I+D y desarrollo de proyectos tecnológicos, Acceso a financiación pública Europea: Acceso a convocatorias de subvención europeas y conexión con consorcios para desarrollar proyectos tecnológicos, Búsqueda de inversión privada: Acceso a capital privado para financiar el crecimiento, desarrollo y escalabilidad, Colaboraciones estratégicas: Potenciar alianzas con otras entidades para proyectos conjuntos | Acceso al mercado: Acceso a nuevos mercados, Acceso a financiación pública Nacional: Acceso a ayudas públicas nacionales para inversión en I+D y desarrollo de proyectos tecnológicos, Acceso a financiación pública Europea: Acceso a convocatorias de subvención europeas y conexión con consorcios para desarrollar proyectos tecnológicos, Búsqueda de inversión privada: Acceso a capital privado para financiar el crecimiento, desarrollo y escalabilidad, Acceso a talento: Captación y retención de profesionales altamente cualificados | Búsqueda de inversión privada: Acceso a capital privado para financiar el crecimiento, desarrollo y escalabilidad, Colaboraciones estratégicas: Potenciar alianzas con otras entidades para proyectos conjuntos, Visibilidad: Incrementar la presencia en el sector y el reconocimiento de capacidades"
members,Necesidades Esp,str,100,24.15,183,"Acceso a financiación pública Nacional: Acceso a ayudas públicas nacionales para desarrollar investigaciones y proyectos, Acceso a financiación pública Europea: Acceso a convocatorias de subvención europeas y conexión con consorcios para desarrollar investigaciones y proyectos, Conexión con la industria: Conectar con empresas de diferentes sectores, Colaboraciones académicas: Conexión con otros investigadores o instituciones de investigación, Visibilidad: Visibilidad a sus patentes, investigaciones y logros | Acceso a financiación pública Nacional: Acceso a ayudas públicas nacionales para desarrollar investigaciones y proyectos, Acceso a financiación pública Europea: Acceso a convocatorias de subvención europeas y conexión con consorcios para desarrollar investigaciones y proyectos, Conexión con la industria: Conectar con empresas de diferentes sectores, Colaboraciones académicas: Conexión con otros investigadores o instituciones de investigación, Acceso a infraestructuras: Acceso a laboratorios, equipos avanzados y recursos necesarios para el desarrollo | Acceso a financiación pública Nacional: Acceso a ayudas públicas nacionales para desarrollar investigaciones y proyectos, Conexión con la industria: Conectar con empresas de diferentes sectores, Acceso a talento: Conexión con investigadores de alto nivel y técnicos cualificados, Acceso a infraestructuras: Acceso a laboratorios, equipos avanzados y recursos necesarios para el desarrollo, Vigilancia tecnológica: Acceso a tendencias científicas y deep tech relevantes"
members,Idiomas,str,23,5.56,52,"Español, Inglés, Francés, Portugués | Inglés | Español, Inglés, Alemán, Italiano, Gallego"
members,Instrumentos,str,26,6.28,32,Contrabajo | No toco ninguno | Guitarra clásica
members,Hobbies,str,26,6.28,237,"Cocina, Música, Videojuegos | Manualidades | Jardinería"
members,Deportes,str,26,6.28,180,"Ajedrez, Fútbol | Fitness | Senderismo"
members,Equipo,str,387,93.48,5,Real Madrid CF | Valencia CF | FC Barcelona
members,País,str,3,0.72,18,Portugal | España | Antigua y Barbuda
members,Género,str,0,0.0,3,Masculino | Femenino | Prefiero no decirlo
members,Alimentación,str,0,0.0,6,Omnívoro/a | Vegetariano/a | Otra dieta o costumbre
members,Captación json,str,391,94.44,23,"[{""captacion_fecha"":""20260427"",""captacion_fase"":""Recontactar más adelante"",""captacion_comentarios"":""Le fuimos a visitar el 22\/04 a porposito del Summit y para tener algun reto. Hoy nos ha enviado unos que nos dijo en la reunion."",""captacion_autor"":""silvia""}] | [{""captacion_fecha"":""20260220"",""captacion_fase"":""Pendiente de respuesta"",""captacion_comentarios"":""Me reuno con Marc Fornell para conocernos. Invierten en deep tech en fase early stage. Les invito al 19M"",""captacion_autor"":""sergio""}] | [{""captacion_fecha"":""20260216"",""captacion_fase"":""Pendiente de respuesta"",""captacion_comentarios"":""Mantengo reunión con Luca y les gusta el cluster, aunque no tienen mucho dinero. Lo ven interesante para desarrollo de producto aunque ahora están buscando clientes en sector lujo y ahí no les podemos ayudar tanto."",""captacion_autor"":""sergio""},{""captacion_fecha"":"""",""captacion_fase"":"""",""captacion_comentarios"":"""",""captacion_autor"":""""}]"
suscriptores,_source_id,int64,0,0.0,7968,0 | 1 | 2
suscriptores,Email,str,0,0.0,7968,jarias@aimen.es | notero@aimen.es | aprada@aimen.es
suscriptores,Nombre,str,267,3.35,2903,Jorge | Nerea | Alvaro
suscriptores,Apellidos,str,485,6.09,5687,Arias | Otero | Prada
suscriptores,Cargo,str,3180,39.91,2967,PhD Physics · LASER APPLICATION CENTRE | Laser microprocessing researcher | Responsable de Desarrollo de Producto
suscriptores,Socio,str,4293,53.88,1178,AIMEN Centro Tecnológico | Grupo Álava | CalSens
suscriptores,Empresa,str,317,3.98,4560,AIMEN Centro Tecnológico | Aimen | Álava Ingenieros
suscriptores,Teléfono,str,4165,52.27,3554,986344000 (Ext. 3272) | 627495711 | 630963344
suscriptores,Provincia,str,4957,62.21,52,Pontevedra | Barcelona | Valencia
suscriptores,Sector,str,7055,88.54,19,Automoción | Salud | Defensa
suscriptores,Listas,str,248,3.11,529,"Socios de SECPhO, Usuarios Koonstel, Bilasurf, Expertos sin rellenar el formulario 02/03/26, Expertos sin rellenar el formulario | Socios de SECPhO, Usuarios Koonstel, Expertos sin rellenar el formulario, Expertos sin rellenar el formulario 02/03/26 | Socios de SECPhO, Usuarios Koonstel, Bilasurf"
suscriptores,% Open rate,float64,0,0.0,3573,25.86 | 24.57 | 13.34
suscriptores,% Click rate,float64,0,0.0,1855,17.51 | 10.78 | 9.26
suscriptores,Suscrito desde,str,762,9.56,574,02/03/2026 | 17/10/2024 | 05/02/2024
suscriptores,Emails,int64,0,0.0,879,1102 | 1095 | 1094
datosnegocio,_source_id,int64,0,0.0,192,0 | 1 | 2
datosnegocio,Socio,str,0,0.0,192,2EyesVision | 5SKILL SOLUTIONS | Abertis
datosnegocio,Tipo de empresa,str,0,0.0,8,Startup o Spinoff | Pyme tecnológica | End User o Coporate
datosnegocio,Tipo de socio,str,0,0.0,6,Socio | OIC | Potencial
datosnegocio,Pub./Priv.,str,24,12.5,2,privado | publico
datosnegocio,Socio Estratégico,float64,49,25.52,2,0.0 | 1.0
datosnegocio,Prog. Inversión,float64,1,0.52,2,1.0 | 0.0
datosnegocio,Fecha ult. act.,str,181,94.27,9,30/03/2026 | 03/03/2026 | 07/04/2026
datosnegocio,Link a ficha/deck,str,175,91.15,17,https://secpho.sharepoint.com/:b:/s/secphoteam2/IQCbjASu8aopS7W5x3mTgg3QAa4UaEdZrIRPYS2QBbYG1HM?e=05N6xq | https://secpho.sharepoint.com/:b:/s/secphoteam2/IQB7UicfhjvBS4zefJ60RiBUARgtutCeANiNdXh78wMf5B8?e=fLrj4e | https://secpho.sharepoint.com/:b:/s/secphoteam2/IQBRyCdA64WOT7a7x01Moqp1ASQHNmdA2P-QzeRwv8ma0EA?e=1AuYZO
datosnegocio,Inversores,str,188,97.92,4,"Bullnet Capital | Namarel Ventures; Grow Venture Partners; Intempo Ventures; Next Gen Ventures II; BA syndicate | Seven Seas Capital, con la participación de Ship2B Ventures e Inclimo Tech Fund"
datosnegocio,Etapa startup,str,154,80.21,4,Serie A | Semilla | Pre-semilla
datosnegocio,Año constitución,str,36,18.75,153,03/07/2015 | 25/06/2015 | 24/02/1967
datosnegocio,Inversion recibida,float64,160,83.33,24,7500000.0 | 10.0 | 0.0
datosnegocio,Inversion buscada,float64,150,78.12,22,5000000.0 | 100.0 | 0.0
datosnegocio,Meses valle,float64,192,100.0,0,
datosnegocio,Nivel de participación,str,0,0.0,6,Nuevo | No definido | Poco activo
datosnegocio,Regiones interés actual,str,149,77.6,33,"NE Asiático, SE Asiático, Norteamérica, Sudamérica, Australia y Oceanía | Europa | Norteamérica, Europa, NE Asiático"
datosnegocio,Regiones interés futuro,str,154,80.21,31,"América Central y Caribe, Sudamérica, África, Oriente Medio, Asia Central y Meridional | Sudamérica | Europa, Norteamérica"
datosnegocio,Cadena de valor,str,0,0.0,25,Fabricación de sistemas | Ingeniería e integración | Usuario final
datosnegocio,Resumen actividad,str,37,19.27,144,"Investigación, desarrollo y comercialización de tecnologías innovadoras en oftalmología | Actvidades de programacion informatica, consultorias, gestion de recursos.. | Operador de referencia internacional en la gestión de vías de alta capacidad, calidad y soluciones inteligentes de movilidad."
datosnegocio,Fecha inicio fondos,str,183,95.31,9,17/03/2025 | 01/01/2023 | 07/02/2025
datosnegocio,Tamaño fondos,float64,176,91.67,14,100000000.0 | 180000000.0 | 250000000.0
datosnegocio,Min ticket,float64,177,92.19,10,250000.0 | 7000000.0 | 100000.0
datosnegocio,Max ticket,float64,175,91.15,12,2500000.0 | 10000000.0 | 500000.0
datosnegocio,Fases enfoque,str,172,89.58,8,"Pre-semilla, Semilla | Serie A, Serie B | Serie B, Expansión"
datosnegocio,Regiones enfoque,str,179,93.23,2,"Europa | Norteamérica, Sudamérica, América Central y Caribe, NE Asiático, SE Asiático, Asia Central y Meridional, Australia y Oceanía, Europa"
datosnegocio,Startups en portfolio,float64,182,94.79,10,45.0 | 10.0 | 52.0
datosnegocio,Interés en tecnologías,str,184,95.83,7,Ciberseguridad y Cloud Computing; Microelectrónica y Semiconductores; Sistemas de Comunicación y Transmisión de Datos | Ciberseguridad y Cloud Computing | Inteligencia Artificial y datos; Tecnologías Cuánticas; Todas
datosnegocio,Interés en ámbitos,str,177,92.19,13,Energía limpia y eficiente; Salud y bienestar | Salud y bienestar | Acción climática y medio ambiente; Energía limpia y eficiente; Salud y bienestar
datosnegocio,Interés en sectores,str,177,92.19,10,Espacio; Medioambiente; Salud; Sector energético | Salud | Medioambiente; Salud; Seguridad
datosnegocio,Cifra de negocio,str,0,0.0,126,"240.997,00 € | 569.237,00 € | No definido"
datosnegocio,Num. de empleados,float64,44,22.92,86,17.0 | 19.0 | 2.0
datosnegocio,Exportación,str,69,35.94,39,100 % | 0 % | 7 %
datosnegocio,CNAE,float64,83,43.23,46,7211.0 | 6203.0 | 7112.0
datoscontacto,_source_id,int64,0,0.0,2395,0 | 1 | 2
datoscontacto,ID,int64,0,0.0,2395,49137 | 57659 | 14029
datoscontacto,Entidad,str,1,0.04,2387,- | 1d3a | 28DIGITAL
datoscontacto,Contacto_Nombre,str,312,13.03,1988,Daniel Bermudez | Jesús de Pablos | Eduardo Troche Pesqueira
datoscontacto,Contacto_Apellidos,str,2184,91.19,201,Pérez | Roman Rodríguez | Quince
datoscontacto,Contacto_Cargo,str,842,35.16,990,Project Manager | Ecosystem Lead | Green Digital | CFO
datoscontacto,Contacto_Email,str,248,10.35,2135,bermudezrd@protonmail.com | eduardo.troche@28digital.eu | xperez@2eyesvision.com
datoscontacto,Contacto_Tel1,str,779,32.53,1592,622193995 | 699974435 | 673813398
datoscontacto,Contacto_Tel2,str,2353,98.25,41,658.91.84.82 | 945298289 | +34 660 43 24 13
datoscontacto,Razón social,str,1338,55.87,1051,1d3a | 2EyesVision | 3DZings
datoscontacto,NIF,str,1948,81.34,424,B87335907 | B66564485 | B01832344
datoscontacto,Teléfono,str,2102,87.77,290,673813398 | 635 70 85 24 | +34667314185
datoscontacto,Web,str,1847,77.12,543,http://www.1d3a.com/ | http://www.2eyesvision.com/ | www.3M.com/es
datoscontacto,F_Dirección,str,1814,75.74,573,"Plaza de la Encina, 10 Nucleo 3 Planta 4 | Plaza can Suris, S/N,  | Calderón de la Barca, 8"
datoscontacto,F_Municipio,str,1789,74.7,234,Tres Cantos | Cornellà del Llobregat | Murcia
datoscontacto,F_CP,str,1834,76.58,315,28760 | 08940 | 30001
datoscontacto,F_Provincia,str,1729,72.19,36,Madrid | Barcelona | Murcia
datoscontacto,F_CA,str,1674,69.9,16,Madrid | Cataluña | Murcia
datoscontacto,Admin_Nombre,str,2141,89.39,146,Administración | Marta | Alejandro
datoscontacto,Admin_Apellidos,str,2305,96.24,86,Guerrero | Falcones Rosich | Garcia
datoscontacto,Admin_Cargo,str,2281,95.24,78,Administración | Marta Guerrero | Técnico administración y finanzas
datoscontacto,Admin_Email,str,2203,91.98,190,admin@2eyesvision.com | administracion@5skill.com | afalcones@addicrafteng.com
datoscontacto,Admin_Tel1,str,2337,97.58,58,615842977 | +34 954 006 114 | 902495000
datoscontacto,Admin_Tel2,str,2390,99.79,5,935707782 | 93 521 7500 (general) | 93 403 93 74
datoscontacto,P_Dirección,str,2258,94.28,137,"Plaza de la Encina, 10 Nucleo 3 Planta 4 | C/Maestro Clave, nº 1 Pta. 6 | Venta de la Estrella, 6 Pab 130"
datoscontacto,P_Municipio,str,2260,94.36,81,Tres Cantos | Valencia | Vitoria
datoscontacto,P_CP,float64,2259,94.32,109,28760.0 | 46001.0 | 1006.0
datoscontacto,P_Provincia,str,2250,93.95,20,Madrid | Navarra | Valencia
datoscontacto,P_CA,str,2253,94.07,11,Madrid | Comunitat Valenciana | País Vasco
actosagenda,_source_id,int64,0,0.0,521,72937 | 70936 | 67494
actosagenda,ID,int64,0,0.0,521,72937 | 70936 | 67494
actosagenda,Fecha,str,0,0.0,490,10-11-2026 | 30-09-2026 | 15-09-2026
actosagenda,Ubicación,str,4,0.77,3,internacional | nacional | online
actosagenda,Provincia,str,351,67.37,21,Navarra | Madrid | Valencia
actosagenda,País,str,467,89.64,17,Alemania | KEKE | USUS
actosagenda,Ciudad,str,293,56.24,76,Munich | Pamplona | Barcelona
actosagenda,Lugar,str,340,65.26,128,Trade fair center messe münchen | Eurecat | Centro para el Desarrollo Tecnológico y la Innovación (CDTI)
actosagenda,Título,str,0,0.0,516,"SEMICON Europa | Munich | SECPHO SUMMIT 2026 | Market Focus | Fotónica ambiental: monitorización para medir en tiempo real contaminantes en aire, agua y suelos"
actosagenda,Num. ponentes,float64,358,68.71,16,0.0 | 10.0 | 2.0
actosagenda,Num. asistentes,float64,357,68.52,59,115.0 | 146.0 | 18.0
actosagenda,Num. registrados,float64,489,93.86,28,171.0 | 119.0 | 127.0
actosagenda,Link,str,0,0.0,521,https://www.secpho.org/agenda/semicon-europa-2026/ | https://www.secpho.org/agenda/summit-2026/ | https://www.secpho.org/agenda/fotonica-ambiental/
actosagenda,Tipología,str,0,0.0,14,['International'] | ['Networking'] | ['Market Focus']
actosagenda,Tecnología,str,0,0.0,32,"['Microelectrónica y Semiconductores'] | ['AR/VR', 'Biotecnología', 'Blockchain', 'Ciberseguridad y Cloud Computing', 'Fabricación Aditiva', 'Fotónica', 'Iluminación avanzada', 'Inteligencia Artificial y datos', 'IoT', 'Materiales Avanzados', 'Microelectrónica y Semiconductores', 'Robótica y Drones', 'Sensórica avanzada', 'Sistemas láser'] | ['Inteligencia Artificial y datos', 'Robótica y Drones', 'Sensórica avanzada']"
actosagenda,Ámbito,str,0,0.0,18,"['Industria 4.0'] | ['Acción climática y medio ambiente', 'Agricultura, bosques y océanos', 'Energía limpia y eficiente', 'Industria 4.0', 'Movilidad inteligente', 'New Space, defensa y seguridad', 'Salud y bienestar', 'Seguridad alimentaria', 'Smart cities'] | ['Acción climática y medio ambiente']"
actosagenda,Sector,str,0,0.0,29,"['Fabricación industrial'] | ['Aeronáutica', 'Agroalimentación', 'Automoción', 'Construcción', 'Cosmética y Estética', 'Defensa', 'Espacio', 'Fabricación industrial', 'Ferroviario', 'Industria química', 'Logística', 'Materias primas', 'Medioambiente', 'Naval', 'Patrimonio Cultural', 'Salud', 'Sector energético', 'Sector farmacéutico', 'Seguridad', 'Telecomunicaciones', 'Turismo'] | ['Medioambiente']"
actosagenda,En colaboración,bool,0,0.0,2,False | True
actosagenda,Partner,str,42,8.06,85,"Bilasurf consortium | Zabala, CDTI | Icmab, Alba sinctrotrón, INMA"
retos,_source_id,int64,0,0.0,174,74957 | 74755 | 73043
retos,Num. reto,str,0,0.0,174,0215 | 0214 | 0213
retos,Título,str,0,0.0,174,"Identificación de aplicaciones deep tech para polvo ultrafino de cobre de composición isotópica natural (Cu63/Cu65) | Seguridad industrial en planta: prevención de atropellos e interacciones de riesgo entre maquinaria móvil y operarios en zonas de maniobra reducida | Nuevos materiales para asfaltos, asfalto autorreparables y modelos predictivos de mantenimiento"
