_source_id,Num. reto,Título,Descripción,Sector/es,Entidad emisora,Fecha envío,Fecha cierre,Entidades que aplican,Tipo de conexión,¿Surge proyecto?,Socio beneficiado
68933,0002,Desarrollo de un mini-telescopio para observación de la Tierra vía satélite.,,Espacio,,,,,,No sabemos,
68934,0001,Desarrollo de un sistema hibrido de energía y calefacción solar,,Sector energético,,,,,,No sabemos,
68917,0018,Medida del desgaste de pantógrafo ferroviario,,Ferroviario,,,,,,No sabemos,
68918,0017,Monitorización de la calidad del perfil de caucho extruido en tiempo real,,Automoción,,,,,,No sabemos,
68919,0016,Medición del volumen de producto remanente en un contenedor de acero inoxidable,,Materias primas,,,,,,No sabemos,
68920,0015,Tecnologías fotónicas aplicadas al ámbito hospitalario,,Salud,,,,,,No sabemos,
68921,0014,Desarrollo de un detector pasivo de infrarrojos para seguridad,,Seguridad,,,,,,No sabemos,
68922,0013,Investigación para la detección de lindano en agua,,Medioambiente,,,,,,No sabemos,
68923,0012,Desarrollo de un Láser para reconstrucción 3D de objetos en movimiento,,Fabricación industrial,,,,,,No sabemos,
68924,0011,Medición de la rugosidad de muestra de vidrio,,Fabricación industrial,,,,,,No sabemos,
68925,0010,Desarrollo de un láser para fabricación de stents,,Salud,LVD Biotech,,,,,No sabemos,
68926,0009,"Consulta sobre filtros polarizados lineales de 300x200mm, para leds de 850nm",,Defensa,,,,,,No sabemos,
68927,0008,Simulador de vuelo compatible con sistemas de visión nocturna,,Defensa,,,,,,No sabemos,
68928,0007,Desarrollo de una solución compacta para alineación de ruedas en concesionarios,,Automoción,Micrauto,,,CD6 - UPC,,No sabemos,
68897,0038,Medida de piezas metálicas de grandes dimensiones,,Aeronáutica,ArcelorMittal,,,,,No sabemos,
68898,0037,Medición precisa en 3D de chapas y piezas metálicas,,Aeronáutica,,,,,,No sabemos,
68899,0036,Desarrollo de una fuente de luz azul para estudio de la piel,,Salud,,,,,,No sabemos,
68900,0035,Sistema de iluminación para visión multiespectral en maquinaria de clasificación de residuos,,Medioambiente,,,,,,No sabemos,
68901,0034,Sistemas de monitorización de procesos forestales y medioambientales,,Agroalimentación,,,,,,No sabemos,
68902,0033,Sistema de proyección láser para control y gestión de accesos,,Seguridad,,,,,,No sabemos,
68903,0032,Identificación y eliminación de malas hierbas y plagas mediante tecnologías fotónicas,,Agroalimentación,,,,,,No sabemos,
68904,0031,Corte de carbono vitreo mediante láser,,Naval,,,,,,No sabemos,
68905,0030,Desarrollo de un sistema de análisis de imagen para aplicaciones en estética corporal,,Cosmética y Estética,,,,,,No sabemos,
68906,0029,Medidas de espesor y viscosidad en el proceso alimentario,,Agroalimentación,,,,,,No sabemos,
68907,0028,Corte láser de precisión para desarrollo de un dispositivo médico basado en óptica integrada,,Salud,,,,,,No sabemos,
68908,0027,Sensores ópticos para detección y clasificación de residuos,,Medioambiente,,,,,,No sabemos,
68909,0026,Control de calidad y control de proceso por medio de pirómetros y/o cámaras térmicas,,Fabricación industrial,,,,,,No sabemos,
68910,0025,Demanda de un nuevo microscopio óptico digital,,Salud,,,,,,No sabemos,
68911,0024,Caracterización de un nuevo hormigón refractario,,Construcción,Promsa,,,,,No sabemos,
68912,0023,Desarrollo de una célula de proceso de rebabado automático en piezas de caucho,,Automoción,,,,,,No sabemos,
68913,0022,Capacidad de fabricar objetivos para cámaras fotográficas,,Fabricación industrial,,,,,,No sabemos,
