socio,socio_key,registered_event_count,registered_event_titles,registered_event_keys,registered_event_pairs,event_interest_source_rows,event_interest_confidence
Aotech,aotech,8,Agritech and foodtech online fair | Aplicaciones de robótica móvil colaborativa para la industria 4.0 | CONNECTING SESSION B2B meeting - Industria 4.0 en sector alimentario | CONNECTING SESSION B2B meeting - Sostenibilidad en el sector del agua | Cómo organizar tu evento en Koonstel | Cómo organizar tu evento en Koonstel 2 | Deep tech para tratamiento de agua | Listeria 0 Tecnologías disruptivas en la industria del ibérico para garantizar la seguridad alimentaria,agritechandfoodtechonlinefair | aplicacionesderobticamvilcolaborativaparalaindustria40 | cmoorganizartueventoenkoonstel | cmoorganizartueventoenkoonstel2 | connectingsessionb2bmeetingindustria40ensectoralimentario | connectingsessionb2bmeetingsostenibilidadenelsectordelagua | deeptechparatratamientodeagua | listeria0tecnologasdisruptivasenlaindustriadelibricoparagarantizarlaseguridadalimentaria,agritechandfoodtechonlinefair::Agritech and foodtech online fair | aplicacionesderobticamvilcolaborativaparalaindustria40::Aplicaciones de robótica móvil colaborativa para la industria 4.0 | cmoorganizartueventoenkoonstel2::Cómo organizar tu evento en Koonstel 2 | cmoorganizartueventoenkoonstel::Cómo organizar tu evento en Koonstel | connectingsessionb2bmeetingindustria40ensectoralimentario::CONNECTING SESSION B2B meeting - Industria 4.0 en sector alimentario | connectingsessionb2bmeetingsostenibilidadenelsectordelagua::CONNECTING SESSION B2B meeting - Sostenibilidad en el sector del agua | deeptechparatratamientodeagua::Deep tech para tratamiento de agua | listeria0tecnologasdisruptivasenlaindustriadelibricoparagarantizarlaseguridadalimentaria::Listeria 0 Tecnologías disruptivas en la industria del ibérico para garantizar la seguridad alimentaria,9,high
Bullnet Capital,bullnetcapital,8,AI for Industry International Congress | Automatización del proceso de corte con láser mediante fabricación aditiva con termoplásticos | CPI en sector sanitario Sesión de trabajo | Creación de Valor Compartido en el sector Deep Tech | DELVY 3 Phantom Shares vs stock options | Deep Tech Talent Best Practices | Deep Tech revolution in the Post-Covid stage | Deep Tech y ética,aiforindustryinternationalcongress | automatizacindelprocesodecorteconlsermediantefabricacinaditivacontermoplsticos | cpiensectorsanitariosesindetrabajo | creacindevalorcompartidoenelsectordeeptech | deeptechrevolutioninthepostcovidstage | deeptechtalentbestpractices | deeptechytica | delvy3phantomsharesvsstockoptions,aiforindustryinternationalcongress::AI for Industry International Congress | automatizacindelprocesodecorteconlsermediantefabricacinaditivacontermoplsticos::Automatización del proceso de corte con láser mediante fabricación aditiva con termoplásticos | cpiensectorsanitariosesindetrabajo::CPI en sector sanitario Sesión de trabajo | creacindevalorcompartidoenelsectordeeptech::Creación de Valor Compartido en el sector Deep Tech | deeptechrevolutioninthepostcovidstage::Deep Tech revolution in the Post-Covid stage | deeptechtalentbestpractices::Deep Tech Talent Best Practices | deeptechytica::Deep Tech y ética | delvy3phantomsharesvsstockoptions::DELVY 3 Phantom Shares vs stock options,8,medium
CD6 – UPC,cd6upc,8,10 Reunión anual secpho | Aplicaciones de la luz en la cosmética | Branding para Pymes Best Practices | CONNECTING SESSION B2B meetings - Sostenibilidad en el sector del agua | CPI en sector sanitario Sesión de trabajo | DELVY 5 ¿Cómo organizar una ronda de financiación | Deep Tech para una agricultura inteligente | Deep Tech y ética,10reuninanualsecpho | aplicacionesdelaluzenlacosmtica | brandingparapymesbestpractices | connectingsessionb2bmeetingssostenibilidadenelsectordelagua | cpiensectorsanitariosesindetrabajo | deeptechparaunaagriculturainteligente | deeptechytica | delvy5cmoorganizarunarondadefinanciacin,10reuninanualsecpho::10 Reunión anual secpho | aplicacionesdelaluzenlacosmtica::Aplicaciones de la luz en la cosmética | brandingparapymesbestpractices::Branding para Pymes Best Practices | connectingsessionb2bmeetingssostenibilidadenelsectordelagua::CONNECTING SESSION B2B meetings - Sostenibilidad en el sector del agua | cpiensectorsanitariosesindetrabajo::CPI en sector sanitario Sesión de trabajo | deeptechparaunaagriculturainteligente::Deep Tech para una agricultura inteligente | deeptechytica::Deep Tech y ética | delvy5cmoorganizarunarondadefinanciacin::DELVY 5 ¿Cómo organizar una ronda de financiación,8,high
Radiantis,radiantis,7,10 Reunión anual secpho | Acercándonos al mercado asiático Best Practices 2 | Aplicaciones de las tecnologías de terahercios | Barcelona Biophotonics B2B Convention | Conectando sistemas de sensores inteligentes para la industria agroalimentaria | Cómo innovar con el Sincrotrón ALBA | DELVY 7 Financiación alternativa a la financiación bancaria,10reuninanualsecpho | acercndonosalmercadoasiticobestpractices2 | aplicacionesdelastecnologasdeterahercios | barcelonabiophotonicsb2bconvention | cmoinnovarconelsincrotrnalba | conectandosistemasdesensoresinteligentesparalaindustriaagroalimentaria | delvy7financiacinalternativaalafinanciacinbancaria,10reuninanualsecpho::10 Reunión anual secpho | acercndonosalmercadoasiticobestpractices2::Acercándonos al mercado asiático Best Practices 2 | aplicacionesdelastecnologasdeterahercios::Aplicaciones de las tecnologías de terahercios | barcelonabiophotonicsb2bconvention::Barcelona Biophotonics B2B Convention | cmoinnovarconelsincrotrnalba::Cómo innovar con el Sincrotrón ALBA | conectandosistemasdesensoresinteligentesparalaindustriaagroalimentaria::Conectando sistemas de sensores inteligentes para la industria agroalimentaria | delvy7financiacinalternativaalafinanciacinbancaria::DELVY 7 Financiación alternativa a la financiación bancaria,7,high
UAB,uab,7,AI for Industry International Congress | Branding para Pymes Best Practices | Conectando sistemas de sensores inteligentes para la industria agroalimentaria | Deep Tech para una agricultura inteligente | Deep Tech y ética | Listeria 0 Tecnologías disruptivas en la industria del ibérico para garantizar la seguridad alimentaria | ¿Quieres conocernos mejor,aiforindustryinternationalcongress | brandingparapymesbestpractices | conectandosistemasdesensoresinteligentesparalaindustriaagroalimentaria | deeptechparaunaagriculturainteligente | deeptechytica | listeria0tecnologasdisruptivasenlaindustriadelibricoparagarantizarlaseguridadalimentaria | quieresconocernosmejor,aiforindustryinternationalcongress::AI for Industry International Congress | brandingparapymesbestpractices::Branding para Pymes Best Practices | conectandosistemasdesensoresinteligentesparalaindustriaagroalimentaria::Conectando sistemas de sensores inteligentes para la industria agroalimentaria | deeptechparaunaagriculturainteligente::Deep Tech para una agricultura inteligente | deeptechytica::Deep Tech y ética | listeria0tecnologasdisruptivasenlaindustriadelibricoparagarantizarlaseguridadalimentaria::Listeria 0 Tecnologías disruptivas en la industria del ibérico para garantizar la seguridad alimentaria | quieresconocernosmejor::¿Quieres conocernos mejor,13,medium
VLC Photonics,vlcphotonics,7,10 Reunión anual secpho | Acercándonos al mercado asiático Best Practices 2 | Bolsa de trabajo | Branding para Pymes Best Practices | Branding para Pymes Best Practices 7 | DELVY 3 Phantom Shares vs stock options | Deep Tech Talent Best Practices 4,10reuninanualsecpho | acercndonosalmercadoasiticobestpractices2 | bolsadetrabajo | brandingparapymesbestpractices | brandingparapymesbestpractices7 | deeptechtalentbestpractices4 | delvy3phantomsharesvsstockoptions,10reuninanualsecpho::10 Reunión anual secpho | acercndonosalmercadoasiticobestpractices2::Acercándonos al mercado asiático Best Practices 2 | bolsadetrabajo::Bolsa de trabajo | brandingparapymesbestpractices7::Branding para Pymes Best Practices 7 | brandingparapymesbestpractices::Branding para Pymes Best Practices | deeptechtalentbestpractices4::Deep Tech Talent Best Practices 4 | delvy3phantomsharesvsstockoptions::DELVY 3 Phantom Shares vs stock options,11,high
2EyesVision,2eyesvision,6,Acercándonos al mercado asiático Best Practices 2 | Branding para Pymes Best Practices | Branding para Pymes Best Practices 7 | DELVY 5 ¿Cómo organizar una ronda de financiación | Deep Tech Talent Best Practices | Deep Tech Talent Best Practices 4,acercndonosalmercadoasiticobestpractices2 | brandingparapymesbestpractices | brandingparapymesbestpractices7 | deeptechtalentbestpractices | deeptechtalentbestpractices4 | delvy5cmoorganizarunarondadefinanciacin,acercndonosalmercadoasiticobestpractices2::Acercándonos al mercado asiático Best Practices 2 | brandingparapymesbestpractices7::Branding para Pymes Best Practices 7 | brandingparapymesbestpractices::Branding para Pymes Best Practices | deeptechtalentbestpractices4::Deep Tech Talent Best Practices 4 | deeptechtalentbestpractices::Deep Tech Talent Best Practices | delvy5cmoorganizarunarondadefinanciacin::DELVY 5 ¿Cómo organizar una ronda de financiación,12,high
ArcelorMittal,arcelormittal,6,AI for Industry International Congress | Aplicaciones de las tecnologías de terahercios | Conectando sistemas de sensores inteligentes para la industria agroalimentaria | Cómo organizar tu evento en Koonstel | Deep Tech para una agricultura inteligente | Deep tech para tratamiento de agua,aiforindustryinternationalcongress | aplicacionesdelastecnologasdeterahercios | cmoorganizartueventoenkoonstel | conectandosistemasdesensoresinteligentesparalaindustriaagroalimentaria | deeptechparatratamientodeagua | deeptechparaunaagriculturainteligente,aiforindustryinternationalcongress::AI for Industry International Congress | aplicacionesdelastecnologasdeterahercios::Aplicaciones de las tecnologías de terahercios | cmoorganizartueventoenkoonstel::Cómo organizar tu evento en Koonstel | conectandosistemasdesensoresinteligentesparalaindustriaagroalimentaria::Conectando sistemas de sensores inteligentes para la industria agroalimentaria | deeptechparatratamientodeagua::Deep tech para tratamiento de agua | deeptechparaunaagriculturainteligente::Deep Tech para una agricultura inteligente,12,high
Instituto de Óptica (CSIC),institutodeopticacsic,6,AI for Industry International Congress | Aplicaciones de la luz en la cosmética | Aplicaciones de las tecnologías de terahercios | Aplicación de las tecnologías de la luz en la gestión del agua urbana e industrial | CONNECTING SESSION B2B meetings - Sostenibilidad en el sector del agua | Deep Tech para una agricultura inteligente,aiforindustryinternationalcongress | aplicacindelastecnologasdelaluzenlagestindelaguaurbanaeindustrial | aplicacionesdelaluzenlacosmtica | aplicacionesdelastecnologasdeterahercios | connectingsessionb2bmeetingssostenibilidadenelsectordelagua | deeptechparaunaagriculturainteligente,aiforindustryinternationalcongress::AI for Industry International Congress | aplicacindelastecnologasdelaluzenlagestindelaguaurbanaeindustrial::Aplicación de las tecnologías de la luz en la gestión del agua urbana e industrial | aplicacionesdelaluzenlacosmtica::Aplicaciones de la luz en la cosmética | aplicacionesdelastecnologasdeterahercios::Aplicaciones de las tecnologías de terahercios | connectingsessionb2bmeetingssostenibilidadenelsectordelagua::CONNECTING SESSION B2B meetings - Sostenibilidad en el sector del agua | deeptechparaunaagriculturainteligente::Deep Tech para una agricultura inteligente,6,medium
Lubrizol,lubrizol,6,AI for Industry International Congress | Deep Tech para un envasado sostenible | Deep Tech para una agricultura inteligente | Deep tech para la energía sostenible | Deep tech para tratamiento de agua | ¿Qué problemas resuelve la metrología óptica,aiforindustryinternationalcongress | deeptechparalaenergasostenible | deeptechparatratamientodeagua | deeptechparaunaagriculturainteligente | deeptechparaunenvasadosostenible | quproblemasresuelvelametrologaptica,aiforindustryinternationalcongress::AI for Industry International Congress | deeptechparalaenergasostenible::Deep tech para la energía sostenible | deeptechparatratamientodeagua::Deep tech para tratamiento de agua | deeptechparaunaagriculturainteligente::Deep Tech para una agricultura inteligente | deeptechparaunenvasadosostenible::Deep Tech para un envasado sostenible | quproblemasresuelvelametrologaptica::¿Qué problemas resuelve la metrología óptica,7,high
Nulab,nulab,6,A new era in food security | AI for Industry International Congress | Aplicación de la espectroscopia a la cadena de valor del aceite | DELVY 3 Phantom Shares vs stock options | Deep Tech para una agricultura inteligente | ¿Quieres conocernos mejor,aiforindustryinternationalcongress | anewerainfoodsecurity | aplicacindelaespectroscopiaalacadenadevalordelaceite | deeptechparaunaagriculturainteligente | delvy3phantomsharesvsstockoptions | quieresconocernosmejor,aiforindustryinternationalcongress::AI for Industry International Congress | anewerainfoodsecurity::A new era in food security | aplicacindelaespectroscopiaalacadenadevalordelaceite::Aplicación de la espectroscopia a la cadena de valor del aceite | deeptechparaunaagriculturainteligente::Deep Tech para una agricultura inteligente | delvy3phantomsharesvsstockoptions::DELVY 3 Phantom Shares vs stock options | quieresconocernosmejor::¿Quieres conocernos mejor,8,medium
Zabala Innovation,zabalainnovation,6,10 Reunión anual secpho | AI for Industry International Congress | Acercándonos al mercado asiático Best Practices 2 | Deep Tech for Sustainable Packaging | Deep Tech para una agricultura inteligente | Listeria 0 Tecnologías disruptivas en la industria del ibérico para garantizar la seguridad alimentaria,10reuninanualsecpho | acercndonosalmercadoasiticobestpractices2 | aiforindustryinternationalcongress | deeptechforsustainablepackaging | deeptechparaunaagriculturainteligente | listeria0tecnologasdisruptivasenlaindustriadelibricoparagarantizarlaseguridadalimentaria,10reuninanualsecpho::10 Reunión anual secpho | acercndonosalmercadoasiticobestpractices2::Acercándonos al mercado asiático Best Practices 2 | aiforindustryinternationalcongress::AI for Industry International Congress | deeptechforsustainablepackaging::Deep Tech for Sustainable Packaging | deeptechparaunaagriculturainteligente::Deep Tech para una agricultura inteligente | listeria0tecnologasdisruptivasenlaindustriadelibricoparagarantizarlaseguridadalimentaria::Listeria 0 Tecnologías disruptivas en la industria del ibérico para garantizar la seguridad alimentaria,6,high
bcb,bcb,6,AI for Industry International Congress | Aplicaciones de las tecnologías de terahercios | Automatización del proceso de corte con láser mediante fabricación aditiva con termoplásticos | BACH Tech Week Burgos Technology in Archeology and Cultural Heritage Week | Deep tech para tratamiento de agua | Deep tech para una energía sostenible,aiforindustryinternationalcongress | aplicacionesdelastecnologasdeterahercios | automatizacindelprocesodecorteconlsermediantefabricacinaditivacontermoplsticos | bachtechweekburgostechnologyinarcheologyandculturalheritageweek | deeptechparatratamientodeagua | deeptechparaunaenergasostenible,aiforindustryinternationalcongress::AI for Industry International Congress | aplicacionesdelastecnologasdeterahercios::Aplicaciones de las tecnologías de terahercios | automatizacindelprocesodecorteconlsermediantefabricacinaditivacontermoplsticos::Automatización del proceso de corte con láser mediante fabricación aditiva con termoplásticos | bachtechweekburgostechnologyinarcheologyandculturalheritageweek::BACH Tech Week Burgos Technology in Archeology and Cultural Heritage Week | deeptechparatratamientodeagua::Deep tech para tratamiento de agua | deeptechparaunaenergasostenible::Deep tech para una energía sostenible,7,medium
Angulas Aguinaga,angulasaguinaga,5,Anticovid Technologies Day | Aplicaciones de las tecnologías de terahercios | Conectando sistemas de sensores inteligentes para la industria agroalimentaria | Deep Tech para un envasado sostenible | Listeria 0 Tecnologías disruptivas en la industria del ibérico para garantizar la seguridad alimentaria,anticovidtechnologiesday | aplicacionesdelastecnologasdeterahercios | conectandosistemasdesensoresinteligentesparalaindustriaagroalimentaria | deeptechparaunenvasadosostenible | listeria0tecnologasdisruptivasenlaindustriadelibricoparagarantizarlaseguridadalimentaria,anticovidtechnologiesday::Anticovid Technologies Day | aplicacionesdelastecnologasdeterahercios::Aplicaciones de las tecnologías de terahercios | conectandosistemasdesensoresinteligentesparalaindustriaagroalimentaria::Conectando sistemas de sensores inteligentes para la industria agroalimentaria | deeptechparaunenvasadosostenible::Deep Tech para un envasado sostenible | listeria0tecnologasdisruptivasenlaindustriadelibricoparagarantizarlaseguridadalimentaria::Listeria 0 Tecnologías disruptivas en la industria del ibérico para garantizar la seguridad alimentaria,7,medium
CEIT,ceit,5,AI for Industry International Congress | Aplicaciones de las tecnologías de terahercios | Aplicaciones de robótica móvil colaborativa para la industria 4.0 | Augmented reality and collaborative robots for remote industrial equipment installation | CUSTODIAN Webinar Soluciones de láser industrial - mejor eficiencia y menores costes,aiforindustryinternationalcongress | aplicacionesdelastecnologasdeterahercios | aplicacionesderobticamvilcolaborativaparalaindustria40 | augmentedrealityandcollaborativerobotsforremoteindustrialequipmentinstallation | custodianwebinarsolucionesdelserindustrialmejoreficienciaymenorescostes,aiforindustryinternationalcongress::AI for Industry International Congress | aplicacionesdelastecnologasdeterahercios::Aplicaciones de las tecnologías de terahercios | aplicacionesderobticamvilcolaborativaparalaindustria40::Aplicaciones de robótica móvil colaborativa para la industria 4.0 | augmentedrealityandcollaborativerobotsforremoteindustrialequipmentinstallation::Augmented reality and collaborative robots for remote industrial equipment installation | custodianwebinarsolucionesdelserindustrialmejoreficienciaymenorescostes::CUSTODIAN Webinar Soluciones de láser industrial - mejor eficiencia y menores costes,10,medium
Eurecat,eurecat,5,AI for Industry International Congress | Anticovid Technologies Day | Aplicaciones de la luz en la cosmética | Aplicaciones de las tecnologías de terahercios | Barcelona Biophotonics B2B Convention,aiforindustryinternationalcongress | anticovidtechnologiesday | aplicacionesdelaluzenlacosmtica | aplicacionesdelastecnologasdeterahercios | barcelonabiophotonicsb2bconvention,aiforindustryinternationalcongress::AI for Industry International Congress | anticovidtechnologiesday::Anticovid Technologies Day | aplicacionesdelaluzenlacosmtica::Aplicaciones de la luz en la cosmética | aplicacionesdelastecnologasdeterahercios::Aplicaciones de las tecnologías de terahercios | barcelonabiophotonicsb2bconvention::Barcelona Biophotonics B2B Convention,6,high
KD,kd,5,10 Reunión anual secpho | Acercándonos al mercado asiático Best Practices 2 | Branding para Pymes Best Practices | Cómo organizar tu evento en Koonstel | DELVY 3 Phantom Shares vs stock options,10reuninanualsecpho | acercndonosalmercadoasiticobestpractices2 | brandingparapymesbestpractices | cmoorganizartueventoenkoonstel | delvy3phantomsharesvsstockoptions,10reuninanualsecpho::10 Reunión anual secpho | acercndonosalmercadoasiticobestpractices2::Acercándonos al mercado asiático Best Practices 2 | brandingparapymesbestpractices::Branding para Pymes Best Practices | cmoorganizartueventoenkoonstel::Cómo organizar tu evento en Koonstel | delvy3phantomsharesvsstockoptions::DELVY 3 Phantom Shares vs stock options,6,medium
Monocrom,monocrom,5,AEROSPACE & DEFENSE MEETINGS SEVILLA 2020 | CPI en sector sanitario Sesión de trabajo | CUSTODIAN Webinar Soluciones de láser industrial - mejor eficiencia y menores costes | Deep Tech Talent Best Practices | Deep Tech Talent Best Practices 4,aerospaceanddefensemeetingssevilla2020 | cpiensectorsanitariosesindetrabajo | custodianwebinarsolucionesdelserindustrialmejoreficienciaymenorescostes | deeptechtalentbestpractices | deeptechtalentbestpractices4,aerospaceanddefensemeetingssevilla2020::AEROSPACE & DEFENSE MEETINGS SEVILLA 2020 | cpiensectorsanitariosesindetrabajo::CPI en sector sanitario Sesión de trabajo | custodianwebinarsolucionesdelserindustrialmejoreficienciaymenorescostes::CUSTODIAN Webinar Soluciones de láser industrial - mejor eficiencia y menores costes | deeptechtalentbestpractices4::Deep Tech Talent Best Practices 4 | deeptechtalentbestpractices::Deep Tech Talent Best Practices,6,high
ProCareLight,procarelight,5,10 Reunión anual secpho | 31BIEMH Cena de Networking | AI for Industry International Congress | Anticovid Technologies Day | Aplicaciones de la luz en la cosmética,10reuninanualsecpho | 31biemhcenadenetworking | aiforindustryinternationalcongress | anticovidtechnologiesday | aplicacionesdelaluzenlacosmtica,10reuninanualsecpho::10 Reunión anual secpho | 31biemhcenadenetworking::31BIEMH Cena de Networking | aiforindustryinternationalcongress::AI for Industry International Congress | anticovidtechnologiesday::Anticovid Technologies Day | aplicacionesdelaluzenlacosmtica::Aplicaciones de la luz en la cosmética,6,medium
IN2UB,in2ub,4,Aplicaciones de las tecnologías de terahercios | Deep Tech para una agricultura inteligente | Deep tech para tratamiento de agua | ¿Quieres conocernos mejor,aplicacionesdelastecnologasdeterahercios | deeptechparatratamientodeagua | deeptechparaunaagriculturainteligente | quieresconocernosmejor,aplicacionesdelastecnologasdeterahercios::Aplicaciones de las tecnologías de terahercios | deeptechparatratamientodeagua::Deep tech para tratamiento de agua | deeptechparaunaagriculturainteligente::Deep Tech para una agricultura inteligente | quieresconocernosmejor::¿Quieres conocernos mejor,5,high
Macsa ID,macsaid,4,AI for Industry International Congress | CUSTODIAN Webinar Soluciones de láser industrial - mejor eficiencia y menores costes | Deep Tech for Sustainable Packaging | Deep Tech para un envasado sostenible,aiforindustryinternationalcongress | custodianwebinarsolucionesdelserindustrialmejoreficienciaymenorescostes | deeptechforsustainablepackaging | deeptechparaunenvasadosostenible,aiforindustryinternationalcongress::AI for Industry International Congress | custodianwebinarsolucionesdelserindustrialmejoreficienciaymenorescostes::CUSTODIAN Webinar Soluciones de láser industrial - mejor eficiencia y menores costes | deeptechforsustainablepackaging::Deep Tech for Sustainable Packaging | deeptechparaunenvasadosostenible::Deep Tech para un envasado sostenible,4,high
Sensofar Metrology,sensofarmetrology,4,AI for Industry International Congress | Aplicaciones de la luz en la cosmética | DELVY 3 Phantom Shares vs stock options | Deep Tech Talent Best Practices 4,aiforindustryinternationalcongress | aplicacionesdelaluzenlacosmtica | deeptechtalentbestpractices4 | delvy3phantomsharesvsstockoptions,aiforindustryinternationalcongress::AI for Industry International Congress | aplicacionesdelaluzenlacosmtica::Aplicaciones de la luz en la cosmética | deeptechtalentbestpractices4::Deep Tech Talent Best Practices 4 | delvy3phantomsharesvsstockoptions::DELVY 3 Phantom Shares vs stock options,6,high
AMS Technologies,amstechnologies,3,Aplicaciones de las tecnologías de terahercios | Deep Tech para una agricultura inteligente | Deep tech para tratamiento de agua,aplicacionesdelastecnologasdeterahercios | deeptechparatratamientodeagua | deeptechparaunaagriculturainteligente,aplicacionesdelastecnologasdeterahercios::Aplicaciones de las tecnologías de terahercios | deeptechparatratamientodeagua::Deep tech para tratamiento de agua | deeptechparaunaagriculturainteligente::Deep Tech para una agricultura inteligente,4,high
ASINCAR,asincar,3,Aplicaciones de las tecnologías de terahercios | Deep Tech para una agricultura inteligente | Listeria 0 Tecnologías disruptivas en la industria del ibérico para garantizar la seguridad alimentaria,aplicacionesdelastecnologasdeterahercios | deeptechparaunaagriculturainteligente | listeria0tecnologasdisruptivasenlaindustriadelibricoparagarantizarlaseguridadalimentaria,aplicacionesdelastecnologasdeterahercios::Aplicaciones de las tecnologías de terahercios | deeptechparaunaagriculturainteligente::Deep Tech para una agricultura inteligente | listeria0tecnologasdisruptivasenlaindustriadelibricoparagarantizarlaseguridadalimentaria::Listeria 0 Tecnologías disruptivas en la industria del ibérico para garantizar la seguridad alimentaria,5,high
Alter Technology,altertechnology,3,Aplicaciones de las tecnologías de terahercios | Automatización del proceso de corte con láser mediante fabricación aditiva con termoplásticos | Cómo organizar tu evento en Koonstel,aplicacionesdelastecnologasdeterahercios | automatizacindelprocesodecorteconlsermediantefabricacinaditivacontermoplsticos | cmoorganizartueventoenkoonstel,aplicacionesdelastecnologasdeterahercios::Aplicaciones de las tecnologías de terahercios | automatizacindelprocesodecorteconlsermediantefabricacinaditivacontermoplsticos::Automatización del proceso de corte con láser mediante fabricación aditiva con termoplásticos | cmoorganizartueventoenkoonstel::Cómo organizar tu evento en Koonstel,3,high
Beamagine,beamagine,3,Aplicaciones de la Luz para la Industria Aeroespacial | CONNECTING SESSION B2B meetings - Sostenibilidad en el sector del agua | DELVY 7 Financiación alternativa a la financiación bancaria,aplicacionesdelaluzparalaindustriaaeroespacial | connectingsessionb2bmeetingssostenibilidadenelsectordelagua | delvy7financiacinalternativaalafinanciacinbancaria,aplicacionesdelaluzparalaindustriaaeroespacial::Aplicaciones de la Luz para la Industria Aeroespacial | connectingsessionb2bmeetingssostenibilidadenelsectordelagua::CONNECTING SESSION B2B meetings - Sostenibilidad en el sector del agua | delvy7financiacinalternativaalafinanciacinbancaria::DELVY 7 Financiación alternativa a la financiación bancaria,3,high
CDTI,cdti,3,Deep Tech para una agricultura inteligente | Deep Tech y ética | Deep tech para tratamiento de agua,deeptechparatratamientodeagua | deeptechparaunaagriculturainteligente | deeptechytica,deeptechparatratamientodeagua::Deep tech para tratamiento de agua | deeptechparaunaagriculturainteligente::Deep Tech para una agricultura inteligente | deeptechytica::Deep Tech y ética,4,high
Coherent España,coherentespana,3,31BIEMH Cena de Networking | Aplicaciones de las tecnologías de terahercios | Deep Tech y ética,31biemhcenadenetworking | aplicacionesdelastecnologasdeterahercios | deeptechytica,31biemhcenadenetworking::31BIEMH Cena de Networking | aplicacionesdelastecnologasdeterahercios::Aplicaciones de las tecnologías de terahercios | deeptechytica::Deep Tech y ética,3,high
IMB-CNM,imbcnm,3,Anticovid Technologies Day | CPI en sector sanitario Sesión de trabajo | ¿Quieres conocernos mejor,anticovidtechnologiesday | cpiensectorsanitariosesindetrabajo | quieresconocernosmejor,anticovidtechnologiesday::Anticovid Technologies Day | cpiensectorsanitariosesindetrabajo::CPI en sector sanitario Sesión de trabajo | quieresconocernosmejor::¿Quieres conocernos mejor,4,medium
IOVI Intelligent Vision,ioviintelligentvision,3,Anticovid Technologies Day | DELVY 5 ¿Cómo organizar una ronda de financiación | Listeria 0 Tecnologías disruptivas en la industria del ibérico para garantizar la seguridad alimentaria,anticovidtechnologiesday | delvy5cmoorganizarunarondadefinanciacin | listeria0tecnologasdisruptivasenlaindustriadelibricoparagarantizarlaseguridadalimentaria,anticovidtechnologiesday::Anticovid Technologies Day | delvy5cmoorganizarunarondadefinanciacin::DELVY 5 ¿Cómo organizar una ronda de financiación | listeria0tecnologasdisruptivasenlaindustriadelibricoparagarantizarlaseguridadalimentaria::Listeria 0 Tecnologías disruptivas en la industria del ibérico para garantizar la seguridad alimentaria,5,high
PONTI & PARTNERS,pontipartners,3,Branding para Pymes Best Practices | Cómo innovar con el Sincrotrón ALBA | Cómo organizar tu evento en Koonstel 2,brandingparapymesbestpractices | cmoinnovarconelsincrotrnalba | cmoorganizartueventoenkoonstel2,brandingparapymesbestpractices::Branding para Pymes Best Practices | cmoinnovarconelsincrotrnalba::Cómo innovar con el Sincrotrón ALBA | cmoorganizartueventoenkoonstel2::Cómo organizar tu evento en Koonstel 2,3,high
Quside,quside,3,Aplicación de la espectroscopia a la cadena de valor del aceite | Branding para Pymes Best Practices | DELVY 3 Phantom Shares vs stock options,aplicacindelaespectroscopiaalacadenadevalordelaceite | brandingparapymesbestpractices | delvy3phantomsharesvsstockoptions,aplicacindelaespectroscopiaalacadenadevalordelaceite::Aplicación de la espectroscopia a la cadena de valor del aceite | brandingparapymesbestpractices::Branding para Pymes Best Practices | delvy3phantomsharesvsstockoptions::DELVY 3 Phantom Shares vs stock options,3,medium
Recursos Laser,recursoslaser,3,10 Reunión anual secpho | CONNECTING SESSION B2B meetings - Sostenibilidad en el sector del agua | Deep tech para tratamiento de agua,10reuninanualsecpho | connectingsessionb2bmeetingssostenibilidadenelsectordelagua | deeptechparatratamientodeagua,10reuninanualsecpho::10 Reunión anual secpho | connectingsessionb2bmeetingssostenibilidadenelsectordelagua::CONNECTING SESSION B2B meetings - Sostenibilidad en el sector del agua | deeptechparatratamientodeagua::Deep tech para tratamiento de agua,3,high
Telefónica,telefonica,3,Anticovid Technologies Day | Deep Tech y ética | Listeria 0 Tecnologías disruptivas en la industria del ibérico para garantizar la seguridad alimentaria,anticovidtechnologiesday | deeptechytica | listeria0tecnologasdisruptivasenlaindustriadelibricoparagarantizarlaseguridadalimentaria,anticovidtechnologiesday::Anticovid Technologies Day | deeptechytica::Deep Tech y ética | listeria0tecnologasdisruptivasenlaindustriadelibricoparagarantizarlaseguridadalimentaria::Listeria 0 Tecnologías disruptivas en la industria del ibérico para garantizar la seguridad alimentaria,4,high
Vicomtech,vicomtech,3,Aplicaciones de las tecnologías de terahercios | Deep Tech para una agricultura inteligente | Listeria 0 Tecnologías disruptivas en la industria del ibérico para garantizar la seguridad alimentaria,aplicacionesdelastecnologasdeterahercios | deeptechparaunaagriculturainteligente | listeria0tecnologasdisruptivasenlaindustriadelibricoparagarantizarlaseguridadalimentaria,aplicacionesdelastecnologasdeterahercios::Aplicaciones de las tecnologías de terahercios | deeptechparaunaagriculturainteligente::Deep Tech para una agricultura inteligente | listeria0tecnologasdisruptivasenlaindustriadelibricoparagarantizarlaseguridadalimentaria::Listeria 0 Tecnologías disruptivas en la industria del ibérico para garantizar la seguridad alimentaria,4,high
